alpha	lambda	AUC
1	0.001	0.8476666666666667
1	0.01	0.85175
1	0.1	0.843
1	1	0.5
1	1e-4	0.8601666666666666
1	0.001	0.8601666666666666
1	0.01	0.8598333333333333
1	0.1	0.8620833333333333
1	1	0.5
1	1e-4	0.8953333333333333
1	0.001	0.8953333333333333
1	0.01	0.8878333333333334
1	0.1	0.817
1	1	0.5
1	1e-4	0.9016666666666666
1	0.001	0.9016666666666666
1	0.01	0.8983333333333333
1	0.1	0.8911666666666667
1	1	0.5
1	1e-4	0.8813333333333333
1	0.001	0.8813333333333333
1	0.01	0.88175
1	0.1	0.8186666666666667
1	1	0.5
1	1e-4	0.8505
1	0.001	0.8505
1	0.01	0.856
1	0.1	0.871
1	1	0.5
1	1e-4	0.8663333333333333
1	0.001	0.8663333333333333
1	0.01	0.8734999999999999
1	0.1	0.8596666666666667
1	1	0.5
1	1e-4	0.7724166666666666
1	0.001	0.7724166666666666
1	0.01	0.7774166666666666
1	0.1	0.7806666666666666
1	1	0.5
1	1e-4	0.84
1	0.001	0.84
1	0.01	0.8426666666666667
1	0.1	0.831
1	1	0.5
1	1e-4	0.8263333333333334
1	0.001	0.8263333333333334
1	0.01	0.82025
1	0.1	0.81225
1	1	0.5
1	1e-4	0.8845
1	0.001	0.8845
1	0.01	0.8796666666666667
1	0.1	0.8695
1	1	0.5
1	1e-4	0.8991666666666667
1	0.001	0.8991666666666667
1	0.01	0.8968333333333334
1	0.1	0.9101666666666667
1	1	0.5
1	1e-4	0.9343333333333333
1	0.001	0.9343333333333333
1	0.01	0.9328333333333333
1	0.1	0.9293333333333333
1	1	0.5
1	1e-4	0.8519166666666667
1	0.001	0.8519166666666667
1	0.01	0.8529166666666667
1	0.1	0.8424166666666667
1	1	0.5
1	1e-4	0.8649166666666667
1	0.001	0.8649166666666667
1	0.01	0.85975
1	0.1	0.8378333333333333
1	1	0.5
1	1e-4	0.8366666666666667
1	0.001	0.8366666666666667
1	0.01	0.8348333333333333
1	0.1	0.8271666666666666
1	1	0.5
1	1e-4	0.8611666666666666
1	0.001	0.8611666666666666
1	0.01	0.8666666666666667
1	0.1	0.8696666666666667
1	1	0.5
1	1e-4	0.9010416666666666
1	0.001	0.9010416666666666
1	0.01	0.8910416666666666
1	0.1	0.8808333333333334
1	1	0.5
1	1e-4	0.9138333333333333
1	0.001	0.9138333333333333
1	0.01	0.9106666666666666
1	0.1	0.8958333333333334
1	1	0.5
1	1e-4	0.8961666666666667
1	0.001	0.8961666666666667
1	0.01	0.8915
1	0.1	0.8663333333333333
1	1	0.5
1	1e-4	0.8528333333333333
1	0.001	0.8528333333333333
1	0.01	0.8466666666666667
1	0.1	0.8435833333333334
1	1	0.5
1	1e-4	0.9783333333333333
1	0.001	0.9783333333333333
1	0.01	0.9785
1	0.1	0.9764166666666667
1	1	0.5
1	1e-4	0.8606666666666667
1	0.001	0.8606666666666667
1	0.01	0.8505833333333334
1	0.1	0.8496666666666667
1	1	0.5
1	1e-4	0.9031666666666667
1	0.001	0.9031666666666667
1	0.01	0.9005
1	0.1	0.8888333333333334
1	1	0.5
1	1e-4	0.815
1	0.001	0.815
1	0.01	0.819
1	0.1	0.8310833333333333
1	1	0.5
1	1e-4	0.8851666666666667
1	0.001	0.8851666666666667
1	0.01	0.8838333333333334
1	0.1	0.8816666666666667
1	1	0.5
1	1e-4	0.8465
1	0.001	0.8465
1	0.01	0.8448333333333333
1	0.1	0.8495833333333334
1	1	0.5
1	1e-4	0.9083333333333333
1	0.001	0.9083333333333333
1	0.01	0.9126666666666666
1	0.1	0.9164166666666667
1	1	0.5
1	1e-4	0.931
1	0.001	0.931
1	0.01	0.9355
1	0.1	0.9278333333333333
1	1	0.5
1	1e-4	0.7618333333333334
1	0.001	0.7618333333333334
1	0.01	0.7646666666666666
1	0.1	0.769
1	1	0.5
1	1e-4	0.847
1	0.001	0.847
1	0.01	0.8458333333333333
1	0.1	0.7824166666666666
1	1	0.5
1	1e-4	0.8856666666666667
1	0.001	0.8856666666666667
1	0.01	0.87716666666666665
1	0.1	0.8075
1	1	0.5
