sigma	C	AUC
1e-5	0.01	0.902
1e-6	1e-4	0.8528333333333333
1e-6	0.001	0.8468333333333333
1e-6	0.01	0.8318333333333333
1e-5	1e-4	0.8436666666666667
1e-5	0.001	0.8226666666666667
1e-5	0.01	0.8321666666666666
1e-6	1e-4	0.8691666666666666
1e-6	0.001	0.8651666666666666
1e-6	0.01	0.8551666666666666
1e-5	1e-4	0.8701666666666666
1e-5	0.001	0.8561666666666666
1e-5	0.01	0.8488333333333333
1e-6	1e-4	0.9068333333333334
1e-6	0.001	0.9028333333333334
1e-6	0.01	0.8868333333333334
1e-5	1e-4	0.9068333333333334
1e-5	0.001	0.8968333333333334
1e-5	0.01	0.9058333333333334
1e-6	1e-4	0.8353333333333334
1e-6	0.001	0.8293333333333334
1e-6	0.01	0.8193333333333334
1e-5	1e-4	0.8226666666666667
1e-5	0.001	0.7986666666666666
1e-5	0.01	0.8215
1e-6	1e-4	0.9176666666666666
1e-6	0.001	0.9176666666666666
1e-6	0.01	0.9136666666666666
1e-5	1e-4	0.9298333333333333
1e-5	0.001	0.9258333333333333
1e-5	0.01	0.9275
1e-6	1e-4	0.8996666666666666
1e-6	0.001	0.8996666666666666
1e-6	0.01	0.8876666666666667
1e-5	1e-4	0.9176666666666666
1e-5	0.001	0.8996666666666666
1e-5	0.01	0.894
1e-6	1e-4	0.8738333333333334
1e-6	0.001	0.8718333333333333
1e-6	0.01	0.8418333333333333
1e-5	1e-4	0.8724999999999999
1e-5	0.001	0.8545
1e-5	0.01	0.8501666666666666
1e-6	1e-4	0.8855
1e-6	0.001	0.8835
1e-6	0.01	0.8515
1e-5	1e-4	0.8973333333333333
1e-5	0.001	0.8786666666666667
1e-5	0.01	0.8606666666666667
1e-6	1e-4	0.867
1e-6	0.001	0.857
1e-6	0.01	0.813
1e-5	1e-4	0.8748333333333334
1e-5	0.001	0.8408333333333333
1e-5	0.01	0.8106666666666666
1e-6	1e-4	0.8896666666666667
1e-6	0.001	0.8896666666666667
1e-6	0.01	0.8676666666666667
1e-5	1e-4	0.8893333333333333
1e-5	0.001	0.8753333333333333
1e-5	0.01	0.8931666666666667
1e-6	1e-4	0.907
1e-6	0.001	0.907
1e-6	0.01	0.8363333333333334
1e-5	1e-4	0.9051666666666667
1e-5	0.001	0.8711666666666666
1e-5	0.01	0.8621666666666666
1e-6	1e-4	0.822
1e-6	0.001	0.82
1e-6	0.01	0.7966666666666666
1e-5	1e-4	0.8166666666666667
1e-5	0.001	0.8016666666666666
1e-5	0.01	0.8108333333333333
1e-6	1e-4	0.8351666666666666
1e-6	0.001	0.8331666666666666
1e-6	0.01	0.8051666666666667
1e-5	1e-4	0.8256666666666667
1e-5	0.001	0.803
1e-5	0.01	0.8153333333333334
1e-6	1e-4	0.9063333333333333
1e-6	0.001	0.9063333333333333
1e-6	0.01	0.9023333333333333
1e-5	1e-4	0.9048333333333334
1e-5	0.001	0.8948333333333334
1e-5	0.01	0.8981666666666667
1e-6	1e-4	0.9181666666666667
1e-6	0.001	0.9161666666666667
1e-6	0.01	0.8861666666666667
1e-5	1e-4	0.9195
1e-5	0.001	0.8875
1e-5	0.01	0.866
1e-6	1e-4	0.9026666666666666
1e-6	0.001	0.9026666666666666
1e-6	0.01	0.854
1e-5	1e-4	0.9135
1e-5	0.001	0.8765
1e-5	0.01	0.8743333333333333
1e-6	1e-4	0.9008333333333334
1e-6	0.001	0.8968333333333334
1e-6	0.01	0.8908333333333334
1e-5	1e-4	0.9025
1e-5	0.001	0.8945
1e-5	0.01	0.895
1e-6	1e-4	0.9163333333333333
1e-6	0.001	0.9163333333333333
1e-6	0.01	0.9123333333333333
1e-5	1e-4	0.9108333333333334
1e-5	0.001	0.9108333333333334
1e-5	0.01	0.9058333333333334
1e-6	1e-4	0.888
1e-6	0.001	0.886
1e-6	0.01	0.876
1e-5	1e-4	0.9098333333333334
1e-5	0.001	0.8918333333333334
1e-5	0.01	0.8785
